campaign,model,benchmark,mode,retention,pixel_cap,n_attempted,n_completed,n_skipped,official_metric,official_score,mean_visual_tokens,engine,source_json,sha256,note
P0-1,Qwen/Qwen3-VL-8B-Instruct,ocrbench,none,N/A (none),native(0),1000,982,18,OCRBench /1000,760.0,605.1,vllm,runs/full_matrix/j7_qwen3vl_none_ocrbench_r0.000_full.json,f5494f973b8ba16b5481367564f96e8ae35059f85e1f022562ead0331e7a49af,"anchor (reused verified cell, not re-run)"
P0-1,Qwen/Qwen3-VL-8B-Instruct,gqa,none,N/A (none),native(0),12578,12578,0,exact-match,0.6165,298.1,vllm,runs/full_matrix/j7_qwen3vl_none_gqa_r0.000_full.json,bfcbf02f2b6397dd29f529163b9dc14e8107cef4b0797ec7fe71a4b15b2c6c53,"anchor (reused verified cell, not re-run)"
P0-2,Qwen/Qwen2.5-VL-7B-Instruct,ocrbench,pre,0.25,4000000,1000,1000,0,OCRBench /1000,480.0,229.6,vllm,results/acmmm_final_controls/p0_2/p0_2_qwen2_pre_ocrbench_r0.750_full.json,b195c1349f431679512510f5e4304e07e588aa31fa4da05478bd1252b1d43ce4,
P0-2,Qwen/Qwen2.5-VL-7B-Instruct,ocrbench,post,0.25,4000000,1000,1000,0,OCRBench /1000,182.0,229.6,vllm,results/acmmm_final_controls/p0_2/p0_2_qwen2_post_ocrbench_r0.750_full.json,0bd05e0c3961a574765b41ea9a3b77a6c6881d35e55ad5272295d3c04858e034,
P0-2,Qwen/Qwen2.5-VL-7B-Instruct,ocrbench,pre,0.125,4000000,1000,1000,0,OCRBench /1000,328.0,131.5,vllm,results/acmmm_final_controls/p0_2/p0_2_qwen2_pre_ocrbench_r0.875_full.json,3b256bfce4fe8b0c1bc5643991473808af7ca04ef4dd8634acc7a2df21d88f09,
P0-2,Qwen/Qwen2.5-VL-7B-Instruct,ocrbench,post,0.125,4000000,1000,1000,0,OCRBench /1000,70.0,131.5,vllm,results/acmmm_final_controls/p0_2/p0_2_qwen2_post_ocrbench_r0.875_full.json,8f4394441e4290e3272e61c0066a8cad5801561459bf1e6df53f9b2b09c50879,
P1,Qwen/Qwen3-VL-8B-Instruct,ocrbench,rbm,0.25,4000000,1000,921,79,OCRBench /1000,559.0,110.7,hf,results/acmmm_final_controls/p1/p1_qwen3vl_pre_ocrbench_r25_full.json,aec4716288100150da1f72d951294ed45e850499df8a31f5a293e8c72606e45e,
P1,Qwen/Qwen3-VL-8B-Instruct,ocrbench,fastv-k3,0.25,4000000,1000,921,79,OCRBench /1000,413.0,110.7,hf,results/acmmm_final_controls/p1/p1_qwen3vl_fastv_ocrbench_k3_full.json,fdb82cf4a17dc86780855a28658b03ed81144d33bf80ae2f76e58ba2c1e94c4f,
P1,Qwen/Qwen2.5-VL-7B-Instruct,ocrbench,rbm,0.25,4000000,1000,912,88,OCRBench /1000,382.0,134.7,hf,results/acmmm_final_controls/p1/p1_qwen2vl_pre_ocrbench_r25_full.json,63fb8e600b15b813b21242f1b18fc355358d7a08e0de654286e65501337a3393,
P1,Qwen/Qwen2.5-VL-7B-Instruct,ocrbench,fastv-k3,0.25,4000000,1000,912,88,OCRBench /1000,295.0,134.7,hf,results/acmmm_final_controls/p1/p1_qwen2vl_fastv_ocrbench_k3_full.json,3f23be7259460db5bf4cedd166f841fec63110e687dc0274a390a95df6b13c6a,
